Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ProjetX.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\ProjetX\ProjetX.PrjPcb|ReportField=Title~Bill of Materials For Project [ProjetX.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~57|ReportField=ReportTime~22:08:25|ReportField=ReportDate~03/05/2024|ReportField=ReportDateTime~03/05/2024 22:08:25|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~03/05/2024|ReportField=CurrentTime~21:29:00|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\ProjetX\SheetProjectX.SchDoc|ReportField=DocumentName~SheetProjectX.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~03/05/2024|ReportField=Organization~|ReportField=ProjectName~ProjetX.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ProjetX.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\ProjetX\ProjetX.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap|Capacitor|C1, C3, C4, C5|RAD-0.3|Cap|4
2|Cap|Capacitor|C2|Atmega_MAZENKOVIC|Component_1|1
3|Header 2|Header, 2-Pin|P1, P?|HDR1X2|Header 2|2
4|Header 3|Header, 3-Pin|P2|HDR1X3|Header 3|1
5|Header 3H|Header, 3-Pin, Right Angle|P3|HDR1X3H|Header 3H|1
6|IRF7456|HEXFET Power MOSFET|Q1, Q2, Q3, Q7, Q8, Q9|SO-8_N|IRF7456|6
7|2N3904|NPN General Purpose Amplifier|Q4, Q5, Q6|TO-92A|2N3904|3
8|Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R?|AXIAL-0.3|Res1|37
9|LM339AJ|Quad Differential Comparator|U1|J014|LM339AJ|1
10|XTAL|Crystal Oscillator|Y1|R38|XTAL|1
